motif	tf	origin	gene_id	family	name	symbol	motif_tf
ENSMUSG00000034161_LINE113_Scx_I	Scx	CIS-BP	ENSMUSG00000034161	bHLH	NA	NA	NA
ENSMUSG00000035158_LINE115_Mitf_D	Mitf	CIS-BP	ENSMUSG00000035158	bHLH	NA	NA	NA
ENSMUSG00000035923_LINE117_Myf6_D_N1	Myf6	CIS-BP	ENSMUSG00000035923	bHLH	NA	NA	NA
ENSMUSG00000036816_LINE120_Atoh7_I	Atoh7	CIS-BP	ENSMUSG00000036816	bHLH	NA	NA	NA
ENSMUSG00000037169_LINE121_Mycn_D	Mycn	CIS-BP	ENSMUSG00000037169	bHLH	NA	NA	NA
ENSMUSG00000037335_LINE123_Hand1_I	Hand1	CIS-BP	ENSMUSG00000037335	bHLH	NA	NA	NA
ENSMUSG00000037621_LINE124_Atoh8_I	Atoh8	CIS-BP	ENSMUSG00000037621	bHLH	NA	NA	NA
ENSMUSG00000038193_LINE126_Hand2_I	Hand2	CIS-BP	ENSMUSG00000038193	bHLH	NA	NA	NA
ENSMUSG00000038255_LINE127_Neurod2_I	Neurod2	CIS-BP	ENSMUSG00000038255	bHLH	NA	NA	NA
ENSMUSG00000038342_LINE128_Mlxip_D	Mlxip	CIS-BP	ENSMUSG00000038342	bHLH	NA	NA	NA
ENSMUSG00000038932_LINE129_Tcfl5_D	Tcfl5	CIS-BP	ENSMUSG00000038932	bHLH	NA	NA	NA
ENSMUSG00000039830_LINE130_Olig2_I	Olig2	CIS-BP	ENSMUSG00000039830	bHLH	NA	NA	NA
ENSMUSG00000040289_LINE132_Hey1_I	Hey1	CIS-BP	ENSMUSG00000040289	bHLH	NA	NA	NA
ENSMUSG00000042745_LINE133_Id1_I	Id1	CIS-BP	ENSMUSG00000042745	NA	NA	NA	NA
ENSMUSG00000044312_LINE135_Neurog3_I	Neurog3	CIS-BP	ENSMUSG00000044312	bHLH	NA	NA	NA
ENSMUSG00000044597_LINE136_Mycs_I	Mycs	CIS-BP	ENSMUSG00000044597	bHLH	NA	NA	NA
ENSMUSG00000045493_LINE137_Bhlhe23_I	Bhlhe23	CIS-BP	ENSMUSG00000045493	bHLH	NA	NA	NA
ENSMUSG00000045591_LINE138_Olig3_D	Olig3	CIS-BP	ENSMUSG00000045591	bHLH	NA	NA	NA
ENSMUSG00000045680_LINE139_Tcf21_D_N1	Tcf21	CIS-BP	ENSMUSG00000045680	bHLH	NA	NA	NA
ENSMUSG00000045903_LINE141_Npas4_I	Npas4	CIS-BP	ENSMUSG00000045903	bHLH	NA	NA	NA
ENSMUSG00000046160_LINE142_Olig1_I	Olig1	CIS-BP	ENSMUSG00000046160	bHLH	NA	NA	NA
ENSMUSG00000046518_LINE143_Ferd3l_I	Ferd3l	CIS-BP	ENSMUSG00000046518	bHLH	NA	NA	NA
ENSMUSG00000048001_LINE146_Hes5_D	Hes5	CIS-BP	ENSMUSG00000048001	bHLH	NA	NA	NA
ENSMUSG00000048540_LINE148_Nhlh2_D	Nhlh2	CIS-BP	ENSMUSG00000048540	bHLH	NA	NA	NA
ENSMUSG00000048904_LINE150_Neurog1_D	Neurog1	CIS-BP	ENSMUSG00000048904	bHLH	NA	NA	NA
ENSMUSG00000051251_LINE151_Nhlh1_I	Nhlh1	CIS-BP	ENSMUSG00000051251	bHLH	NA	NA	NA
ENSMUSG00000052271_LINE152_Bhlha15_D	Bhlha15	CIS-BP	ENSMUSG00000052271	bHLH	NA	NA	NA
ENSMUSG00000053477_LINE153_Tcf4_D	Tcf4	CIS-BP	ENSMUSG00000053477	bHLH	NA	NA	NA
ENSMUSG00000055116_LINE154_Arntl_D	Arntl	CIS-BP	ENSMUSG00000055116	bHLH	NA	NA	NA
ENSMUSG00000057098_LINE155_Ebf1_D	Ebf1	CIS-BP	ENSMUSG00000057098	EBF1	NA	NA	NA
ENSMUSG00000059436_LINE156_Max_D_N3	Max	CIS-BP	ENSMUSG00000059436	bHLH	NA	NA	NA
ENSMUSG00000062713_LINE160_Sim2_I	Sim2	CIS-BP	ENSMUSG00000062713	bHLH	NA	NA	NA
ENSMUSG00000068079_LINE162_Tcf15_I	Tcf15	CIS-BP	ENSMUSG00000068079	bHLH	NA	NA	NA
ENSMUSG00000073043_LINE166_Atoh1_D_N2	Atoh1	CIS-BP	ENSMUSG00000073043	bHLH	NA	NA	NA
ENSMUSG00000089674_LINE168_Usf2_D	Usf2	CIS-BP	ENSMUSG00000089674	bHLH	NA	NA	NA
ENSMUSG00000033943_LINE169_Mga_I	Mga	CIS-BP	ENSMUSG00000033943	bHLH,T-box	NA	NA	NA
BAE290471_LINE1209_Cebpd_I_N23	Cebpd	CIS-BP	BAE290471	bZIP	NA	NA	NA
ENSMUSG00000003545_LINE172_Fosb_I	Fosb	CIS-BP	ENSMUSG00000003545	bZIP	NA	NA	NA
ENSMUSG00000003949_LINE173_Hlf_D	Hlf	CIS-BP	ENSMUSG00000003949	bZIP	NA	NA	NA
ENSMUSG00000015461_LINE174_Atf6b_I	Atf6b	CIS-BP	ENSMUSG00000015461	bZIP	NA	NA	NA
ENSMUSG00000015839_LINE175_Nfe2l2_D	Nfe2l2	CIS-BP	ENSMUSG00000015839	bZIP	NA	NA	NA
ENSMUSG00000018143_LINE177_Mafk_D	Mafk	CIS-BP	ENSMUSG00000018143	bZIP	NA	NA	NA
ENSMUSG00000020484_LINE179_Xbp1_D_N1	Xbp1	CIS-BP	ENSMUSG00000020484	bZIP	NA	NA	NA
ENSMUSG00000021250_LINE181_Fos_I	Fos	CIS-BP	ENSMUSG00000021250	bZIP	NA	NA	NA
ENSMUSG00000022389_LINE183_Tef_D	Tef	CIS-BP	ENSMUSG00000022389	bZIP	NA	NA	NA
ENSMUSG00000023027_LINE185_Atf1_D_N1	Atf1	CIS-BP	ENSMUSG00000023027	bZIP	NA	NA	NA
ENSMUSG00000024912_LINE189_Fosl1_D	Fosl1	CIS-BP	ENSMUSG00000024912	bZIP	NA	NA	NA
ENSMUSG00000025612_LINE191_Bach1_I	Bach1	CIS-BP	ENSMUSG00000025612	bZIP	NA	NA	NA
ENSMUSG00000025958_LINE192_Creb1_D	Creb1	CIS-BP	ENSMUSG00000025958	bZIP	NA	NA	NA
ENSMUSG00000026628_LINE193_Atf3_D_N2	Atf3	CIS-BP	ENSMUSG00000026628	bZIP	NA	NA	NA
ENSMUSG00000026663_LINE196_Atf6_I	Atf6	CIS-BP	ENSMUSG00000026663	bZIP	NA	NA	NA
ENSMUSG00000027104_LINE197_Atf2_D	Atf2	CIS-BP	ENSMUSG00000027104	bZIP	NA	NA	NA
ENSMUSG00000029135_LINE202_Fosl2_D	Fosl2	CIS-BP	ENSMUSG00000029135	bZIP	NA	NA	NA
ENSMUSG00000034271_LINE208_Jdp2_D_N2	Jdp2	CIS-BP	ENSMUSG00000034271	bZIP	NA	NA	NA
ENSMUSG00000034957_LINE212_Cebpa_D	Cebpa	CIS-BP	ENSMUSG00000034957	bZIP	NA	NA	NA
ENSMUSG00000035041_LINE213_Creb3l3_I	Creb3l3	CIS-BP	ENSMUSG00000035041	bZIP	NA	NA	NA
ENSMUSG00000038615_LINE215_Nfe2l1_I	Nfe2l1	CIS-BP	ENSMUSG00000038615	bZIP	NA	NA	NA
ENSMUSG00000038648_LINE216_Creb3l2_D_N1	Creb3l2	CIS-BP	ENSMUSG00000038648	bZIP	NA	NA	NA
ENSMUSG00000040270_LINE222_Bach2_I	Bach2	CIS-BP	ENSMUSG00000040270	bZIP	NA	NA	NA
ENSMUSG00000040632_LINE223_Nrl_I	Nrl	CIS-BP	ENSMUSG00000040632	NA	NA	NA	NA
ENSMUSG00000042406_LINE225_Atf4_D_N1	Atf4	CIS-BP	ENSMUSG00000042406	bZIP	NA	NA	NA
ENSMUSG00000051451_LINE236_Crebzf_D	Crebzf	CIS-BP	ENSMUSG00000051451	bZIP	NA	NA	NA
ENSMUSG00000051510_LINE237_Mafg_D	Mafg	CIS-BP	ENSMUSG00000051510	bZIP	NA	NA	NA
ENSMUSG00000052414_LINE238_Atf7_D	Atf7	CIS-BP	ENSMUSG00000052414	bZIP	NA	NA	NA
ENSMUSG00000052435_LINE239_Cebpe_D	Cebpe	CIS-BP	ENSMUSG00000052435	bZIP	NA	NA	NA
ENSMUSG00000052684_LINE240_Jun_D	Jun	CIS-BP	ENSMUSG00000052684	bZIP	NA	NA	NA
ENSMUSG00000052837_LINE241_Junb_D	Junb	CIS-BP	ENSMUSG00000052837	bZIP	NA	NA	NA
ENSMUSG00000056216_LINE244_Cebpg_D	Cebpg	CIS-BP	ENSMUSG00000056216	bZIP	NA	NA	NA
ENSMUSG00000056501_LINE246_Cebpb_D_N3	Cebpb	CIS-BP	ENSMUSG00000056501	bZIP	NA	NA	NA
ENSMUSG00000056749_LINE248_Nfil3_D	Nfil3	CIS-BP	ENSMUSG00000056749	bZIP	NA	NA	NA
ENSMUSG00000058794_LINE251_Nfe2_I	Nfe2	CIS-BP	ENSMUSG00000058794	bZIP	NA	NA	NA
ENSMUSG00000059824_LINE252_Dbp_D_N2	Dbp	CIS-BP	ENSMUSG00000059824	bZIP	NA	NA	NA
ENSMUSG00000063889_LINE256_Crem_D	Crem	CIS-BP	ENSMUSG00000063889	bZIP	NA	NA	NA
ENSMUSG00000071076_LINE258_Jund_D	Jund	CIS-BP	ENSMUSG00000071076	bZIP	NA	NA	NA
ENSMUSG00000074622_LINE260_Mafb_D_N2	Mafb	CIS-BP	ENSMUSG00000074622	bZIP	NA	NA	NA
XP_0027269251_LINE265_Nfil3_D_N4	Nfil3	CIS-BP	XP	bZIP	NA	NA	NA
XP_0027269251_LINE1938_Nfil3_I_N4	Nfil3	CIS-BP	XP	bZIP	NA	NA	NA
ENSMUSG00000024238_LINE266_Zeb1_I	Zeb1	CIS-BP	ENSMUSG00000024238	C2H2 ZF,Homeodomain	NA	NA	NA
ENSMUSG00000000317_LINE277_Bcl6b_D	Bcl6b	CIS-BP	ENSMUSG00000000317	C2H2 ZF	NA	NA	NA
ENSMUSG00000001280_LINE281_Sp1_D	Sp1	CIS-BP	ENSMUSG00000001280	C2H2 ZF	NA	NA	NA
ENSMUSG00000003032_LINE286_Klf4_D_N2	Klf4	CIS-BP	ENSMUSG00000003032	C2H2 ZF	NA	NA	NA
ENSMUSG00000003282_LINE289_Plag1_I	Plag1	CIS-BP	ENSMUSG00000003282	C2H2 ZF	NA	NA	NA
ENSMUSG00000005148_LINE292_Klf5_I	Klf5	CIS-BP	ENSMUSG00000005148	C2H2 ZF	NA	NA	NA
ENSMUSG00000005698_LINE295_Ctcf_D	Ctcf	CIS-BP	ENSMUSG00000005698	C2H2 ZF	NA	NA	NA
ENSMUSG00000006587_LINE298_Snai3_I	Snai3	CIS-BP	ENSMUSG00000006587	C2H2 ZF	NA	NA	NA
ENSMUSG00000014303_LINE308_Glis2_D	Glis2	CIS-BP	ENSMUSG00000014303	C2H2 ZF	NA	NA	NA
ENSMUSG00000018654_LINE316_Ikzf1_I	Ikzf1	CIS-BP	ENSMUSG00000018654	C2H2 ZF	NA	NA	NA
ENSMUSG00000018678_LINE317_Sp2_I	Sp2	CIS-BP	ENSMUSG00000018678	C2H2 ZF	NA	NA	NA
ENSMUSG00000018750_LINE318_Zbtb4_I	Zbtb4	CIS-BP	ENSMUSG00000018750	C2H2 ZF	NA	NA	NA
ENSMUSG00000019817_LINE320_Plagl1_D	Plagl1	CIS-BP	ENSMUSG00000019817	C2H2 ZF	NA	NA	NA
ENSMUSG00000020453_LINE325_Patz1_I	Patz1	CIS-BP	ENSMUSG00000020453	C2H2 ZF	NA	NA	NA
ENSMUSG00000021264_LINE330_Yy1_I	Yy1	CIS-BP	ENSMUSG00000021264	C2H2 ZF	NA	NA	NA
ENSMUSG00000021318_LINE331_Gli3_D	Gli3	CIS-BP	ENSMUSG00000021318	C2H2 ZF	NA	NA	NA
ENSMUSG00000021327_LINE332_Zkscan3_I	Zkscan3	CIS-BP	ENSMUSG00000021327	C2H2 ZF	NA	NA	NA
ENSMUSG00000021366_LINE333_Hivep1_I	Hivep1	CIS-BP	ENSMUSG00000021366	C2H2 ZF	NA	NA	NA
ENSMUSG00000021514_LINE335_Zfp369_I	Zfp369	CIS-BP	ENSMUSG00000021514	C2H2 ZF	NA	NA	NA
ENSMUSG00000021743_LINE336_Fezf2_I	Fezf2	CIS-BP	ENSMUSG00000021743	C2H2 ZF	NA	NA	NA
ENSMUSG00000022330_LINE339_Osr2_D	Osr2	CIS-BP	ENSMUSG00000022330	C2H2 ZF	NA	NA	NA
ENSMUSG00000022508_LINE341_Bcl6_D_N1	Bcl6	CIS-BP	ENSMUSG00000022508	C2H2 ZF	NA	NA	NA
ENSMUSG00000022529_LINE344_Zfp263_D	Zfp263	CIS-BP	ENSMUSG00000022529	C2H2 ZF	NA	NA	NA
ENSMUSG00000023902_LINE353_Zscan10_D_N2	Zscan10	CIS-BP	ENSMUSG00000023902	C2H2 ZF	NA	NA	NA
ENSMUSG00000024220_LINE358_Zfp523_I	Zfp523	CIS-BP	ENSMUSG00000024220	C2H2 ZF	NA	NA	NA
ENSMUSG00000024922_LINE366_Ovol1_I	Ovol1	CIS-BP	ENSMUSG00000024922	C2H2 ZF	NA	NA	NA
ENSMUSG00000025323_LINE369_Sp4_D_N2	Sp4	CIS-BP	ENSMUSG00000025323	C2H2 ZF	NA	NA	NA
ENSMUSG00000025529_LINE371_Zfp711_D	Zfp711	CIS-BP	ENSMUSG00000025529	C2H2 ZF	NA	NA	NA
ENSMUSG00000025602_LINE372_Zfp202_D	Zfp202	CIS-BP	ENSMUSG00000025602	C2H2 ZF	NA	NA	NA
ENSMUSG00000025821_LINE373_Zfp282_I	Zfp282	CIS-BP	ENSMUSG00000025821	C2H2 ZF	NA	NA	NA
ENSMUSG00000025959_LINE374_Klf7_D	Klf7	CIS-BP	ENSMUSG00000025959	C2H2 ZF	NA	NA	NA
ENSMUSG00000026815_LINE378_Gfi1b_D	Gfi1b	CIS-BP	ENSMUSG00000026815	C2H2 ZF	NA	NA	NA
ENSMUSG00000027684_LINE385_Mecom_D	Mecom	CIS-BP	ENSMUSG00000027684	C2H2 ZF	NA	NA	NA
ENSMUSG00000028042_LINE386_Zbtb7b_D	Zbtb7b	CIS-BP	ENSMUSG00000028042	C2H2 ZF	NA	NA	NA
ENSMUSG00000028890_LINE392_Mtf1_D	Mtf1	CIS-BP	ENSMUSG00000028890	C2H2 ZF	NA	NA	NA
ENSMUSG00000029127_LINE394_Zbtb49_I	Zbtb49	CIS-BP	ENSMUSG00000029127	C2H2 ZF	NA	NA	NA
ENSMUSG00000029697_LINE399_Fezf1_I	Fezf1	CIS-BP	ENSMUSG00000029697	C2H2 ZF	NA	NA	NA
ENSMUSG00000029729_LINE400_Zkscan1_D	Zkscan1	CIS-BP	ENSMUSG00000029729	C2H2 ZF	NA	NA	NA
ENSMUSG00000030380_LINE406_Mzf1_D_N2	Mzf1	CIS-BP	ENSMUSG00000030380	C2H2 ZF	NA	NA	NA
ENSMUSG00000031079_LINE417_Zfp300_D	Zfp300	CIS-BP	ENSMUSG00000031079	C2H2 ZF	NA	NA	NA
ENSMUSG00000032368_LINE426_Zic1_D	Zic1	CIS-BP	ENSMUSG00000032368	C2H2 ZF	NA	NA	NA
ENSMUSG00000033454_LINE428_Zbtb1_D	Zbtb1	CIS-BP	ENSMUSG00000033454	C2H2 ZF	NA	NA	NA
ENSMUSG00000033730_LINE430_Egr3_D_N1	Egr3	CIS-BP	ENSMUSG00000033730	C2H2 ZF	NA	NA	NA
ENSMUSG00000033863_LINE432_Klf9_D	Klf9	CIS-BP	ENSMUSG00000033863	C2H2 ZF	NA	NA	NA
ENSMUSG00000034762_LINE442_Glis1_I	Glis1	CIS-BP	ENSMUSG00000034762	C2H2 ZF	NA	NA	NA
ENSMUSG00000035529_LINE447_Prdm4_I	Prdm4	CIS-BP	ENSMUSG00000035529	C2H2 ZF	NA	NA	NA
ENSMUSG00000036972_LINE452_Zic4_I	Zic4	CIS-BP	ENSMUSG00000036972	C2H2 ZF	NA	NA	NA
ENSMUSG00000037868_LINE463_Egr2_D_N2	Egr2	CIS-BP	ENSMUSG00000037868	C2H2 ZF	NA	NA	NA
ENSMUSG00000038151_LINE465_Prdm1_I	Prdm1	CIS-BP	ENSMUSG00000038151	C2H2 ZF	NA	NA	NA
ENSMUSG00000038418_LINE467_Egr1_D_N3	Egr1	CIS-BP	ENSMUSG00000038418	C2H2 ZF	NA	NA	NA
ENSMUSG00000038560_LINE471_Sp6_I	Sp6	CIS-BP	ENSMUSG00000038560	C2H2 ZF	NA	NA	NA
ENSMUSG00000039087_LINE476_Rreb1_I	Rreb1	CIS-BP	ENSMUSG00000039087	C2H2 ZF	NA	NA	NA
ENSMUSG00000041483_LINE489_Zfp281_D_N1	Zfp281	CIS-BP	ENSMUSG00000041483	C2H2 ZF	NA	NA	NA
ENSMUSG00000041649_LINE492_Klf8_D	Klf8	CIS-BP	ENSMUSG00000041649	C2H2 ZF	NA	NA	NA
ENSMUSG00000041703_LINE493_Zic5_D	Zic5	CIS-BP	ENSMUSG00000041703	C2H2 ZF	NA	NA	NA
ENSMUSG00000042472_LINE500_Zfp410_D	Zfp410	CIS-BP	ENSMUSG00000042472	C2H2 ZF	NA	NA	NA
ENSMUSG00000042821_LINE502_Snai1_D	Snai1	CIS-BP	ENSMUSG00000042821	C2H2 ZF	NA	NA	NA
ENSMUSG00000043099_LINE505_Hic1_D_N2	Hic1	CIS-BP	ENSMUSG00000043099	C2H2 ZF	NA	NA	NA
ENSMUSG00000043290_LINE508_Zfp784_I	Zfp784	CIS-BP	ENSMUSG00000043290	C2H2 ZF	NA	NA	NA
ENSMUSG00000043602_LINE511_Zfp3_D	Zfp3	CIS-BP	ENSMUSG00000043602	C2H2 ZF	NA	NA	NA
ENSMUSG00000044224_LINE513_Dnajc21_D	Dnajc21	CIS-BP	ENSMUSG00000044224	C2H2 ZF	NA	NA	NA
ENSMUSG00000044807_LINE521_Zfp354c_I	Zfp354c	CIS-BP	ENSMUSG00000044807	C2H2 ZF	NA	NA	NA
ENSMUSG00000045268_LINE526_Zfp691_D	Zfp691	CIS-BP	ENSMUSG00000045268	C2H2 ZF	NA	NA	NA
ENSMUSG00000046897_LINE544_Zfp740_D_N3	Zfp740	CIS-BP	ENSMUSG00000046897	C2H2 ZF	NA	NA	NA
ENSMUSG00000048385_LINE563_Scrt1_I	Scrt1	CIS-BP	ENSMUSG00000048385	C2H2 ZF	NA	NA	NA
ENSMUSG00000048387_LINE564_Osr1_D	Osr1	CIS-BP	ENSMUSG00000048387	C2H2 ZF	NA	NA	NA
ENSMUSG00000048562_LINE568_Sp8_I	Sp8	CIS-BP	ENSMUSG00000048562	C2H2 ZF	NA	NA	NA
ENSMUSG00000049823_LINE587_Zbtb12_D	Zbtb12	CIS-BP	ENSMUSG00000049823	C2H2 ZF	NA	NA	NA
ENSMUSG00000050240_LINE593_Hic2_I	Hic2	CIS-BP	ENSMUSG00000050240	C2H2 ZF	NA	NA	NA
ENSMUSG00000051184_LINE606_Zfp524_I	Zfp524	CIS-BP	ENSMUSG00000051184	C2H2 ZF	NA	NA	NA
ENSMUSG00000053211_LINE623_Zfy1_I	Zfy1	CIS-BP	ENSMUSG00000053211	C2H2 ZF	NA	NA	NA
ENSMUSG00000054191_LINE628_Klf1_D	Klf1	CIS-BP	ENSMUSG00000054191	C2H2 ZF	NA	NA	NA
ENSMUSG00000054272_LINE629_Zscan4c_D	Zscan4c	CIS-BP	ENSMUSG00000054272	C2H2 ZF	NA	NA	NA
ENSMUSG00000054931_LINE639_Zkscan4_I	Zkscan4	CIS-BP	ENSMUSG00000054931	C2H2 ZF	NA	NA	NA
ENSMUSG00000055991_LINE656_Zkscan5_D	Zkscan5	CIS-BP	ENSMUSG00000055991	C2H2 ZF	NA	NA	NA
ENSMUSG00000057895_LINE676_Zfp105_D	Zfp105	CIS-BP	ENSMUSG00000057895	C2H2 ZF	NA	NA	NA
ENSMUSG00000058638_LINE686_Zfp110_I	Zfp110	CIS-BP	ENSMUSG00000058638	C2H2 ZF	NA	NA	NA
ENSMUSG00000059689_LINE696_Zfp637_D	Zfp637	CIS-BP	ENSMUSG00000059689	C2H2 ZF	NA	NA	NA
ENSMUSG00000060257_LINE703_Scrt2_I	Scrt2	CIS-BP	ENSMUSG00000060257	C2H2 ZF	NA	NA	NA
ENSMUSG00000060284_LINE704_Sp7_I	Sp7	CIS-BP	ENSMUSG00000060284	C2H2 ZF	NA	NA	NA
ENSMUSG00000060397_LINE708_Zfp128_D	Zfp128	CIS-BP	ENSMUSG00000060397	C2H2 ZF	NA	NA	NA
ENSMUSG00000061079_LINE713_Zfp143_I	Zfp143	CIS-BP	ENSMUSG00000061079	C2H2 ZF	NA	NA	NA
ENSMUSG00000061524_LINE716_Zic2_D	Zic2	CIS-BP	ENSMUSG00000061524	C2H2 ZF	NA	NA	NA
ENSMUSG00000061894_LINE719_Zscan20_D	Zscan20	CIS-BP	ENSMUSG00000061894	C2H2 ZF,Myb/SANT	NA	NA	NA
ENSMUSG00000066798_LINE756_Zbtb6_I	Zbtb6	CIS-BP	ENSMUSG00000066798	C2H2 ZF	NA	NA	NA
ENSMUSG00000067860_LINE764_Zic3_D_N1	Zic3	CIS-BP	ENSMUSG00000067860	C2H2 ZF	NA	NA	NA
