gene	category	support	literature
Smad4	SMAD2.3.4,target gene	Literature	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9546935/
Cxcl1	target gene	MSigDB	BIERIE_INFLAMMATORY_RESPONSE_TGFB1,PLASARI_TGFB1_TARGETS_10HR_UP
Ptgs2	target gene,tgfb activation	MSigDB	BIERIE_INFLAMMATORY_RESPONSE_TGFB1,PLASARI_TGFB1_TARGETS_1HR_UP,PLASARI_TGFB1_TARGETS_10HR_UP,GOBP_POSITIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION
Ccl20	target gene	MSigDB	BIERIE_INFLAMMATORY_RESPONSE_TGFB1,PLASARI_TGFB1_TARGETS_10HR_UP
Cxcl5	target gene,suppressed	MSigDB	BIERIE_INFLAMMATORY_RESPONSE_TGFB1
Myc	target gene	MSigDB	BIERIE_INFLAMMATORY_RESPONSE_TGFB1,KARLSSON_TGFB1_TARGETS_UP
Sh3glb1	target gene,activated,SMAD2.3.4	MSigDB	RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_SMAD4_UP,RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_MAPK1_UP
Polb	target gene,activated,SMAD2.3.4	MSigDB	RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_SMAD4_UP
Bcl6	target gene,activated,SMAD2.3.4	MSigDB	RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_SMAD4_UP,
Bcl2l11	target gene,activated,SMAD2.3.4	MSigDB	RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_SMAD4_UP,RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_MAPK1_UP
Tnfaip3	target gene,activated,SMAD2.3.4	MSigDB	RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_SMAD4_UP,PLASARI_TGFB1_TARGETS_10HR_UP
Cd40	target gene,activated,SMAD2.3.4	MSigDB	RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_SMAD4_UP,PLASARI_TGFB1_TARGETS_10HR_UP
Pdcd6ip	target gene,activated,SMAD2.3.4	MSigDB	RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_SMAD4_UP
Bmf	target gene,activated,SMAD2.3.4	MSigDB	RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_SMAD4_UP,RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_MAPK1_UP
Trib3	target geneSMAD2.3.4	MSigDB	RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_SMAD4_UP,RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_MAPK1_DN
Tnfrsf10b	target gene,suppressed,SMAD2.3.4	MSigDB	RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_SMAD4_DN
Eya2	target gene,suppressed,SMAD2.3.4	MSigDB	RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_SMAD4_DN
Tnfrsf21	target gene,suppressed,SMAD2.3.4	MSigDB	RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_SMAD4_DN
Mapk8ip1	target gene,suppressed,SMAD2.3.4	MSigDB	RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_SMAD4_DN
Sgpp1	target gene,suppressed,SMAD2.3.4	MSigDB	RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_SMAD4_DN
Casp7	target gene,suppressed,SMAD2.3.4	MSigDB	RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_SMAD4_DN
Egln3	target gene,suppressed,SMAD2.3.4	MSigDB	RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_SMAD4_DN,RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_MAPK1_DN
Bcl2l1	target geneSMAD2.3.4	MSigDB	RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_SMAD4_UP,RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_SMAD4_DN,RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_MAPK1_UP
Atm	target gene,suppressed,SMAD2.3.4	MSigDB	RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_SMAD4_DN
Dapk1	target gene,suppressed,SMAD2.3.4	MSigDB	RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_SMAD4_DN,
Hspa1b	target gene,activated	MSigDB	RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_MAPK1_UP,
Trp53inp1	target gene,activated	MSigDB	RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_MAPK1_UP
Card10	target gene,activated	MSigDB	RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_MAPK1_UP,PLASARI_TGFB1_TARGETS_10HR_UP
Sgpl1	target gene,suppressed	MSigDB	RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_MAPK1_DN
Bid	target gene,suppressed	MSigDB	RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_MAPK1_DN
Ddit3	target gene,suppressed	MSigDB	RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_MAPK1_DN
E2f1	target gene,suppressed	MSigDB	RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_MAPK1_DN
Nr4a1	target gene	MSigDB	RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_MAPK1_DN,PLASARI_TGFB1_TARGETS_1HR_UP
Atf5	target gene,suppressed	MSigDB	RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_MAPK1_DN
Txnip	target gene,suppressed	MSigDB	PLASARI_TGFB1_TARGETS_1HR_DN
Ppp1r3c	target gene,suppressed	MSigDB	PLASARI_TGFB1_TARGETS_1HR_DN,PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,PLASARI_TGFB1_TARGETS_10HR_DN
Meis2	target gene,suppressed	MSigDB	PLASARI_TGFB1_TARGETS_1HR_DN,PLASARI_TGFB1_TARGETS_10HR_DN
Col3a1	target gene,suppressed	MSigDB	PLASARI_TGFB1_TARGETS_1HR_DN,PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,,GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA,
Nfib	target gene	MSigDB	PLASARI_TGFB1_TARGETS_1HR_DN,PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP,PLASARI_TGFB1_TARGETS_10HR_DN
Kcnab1	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP
Soat1	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP
AW551984	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP,PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN,PLASARI_TGFB1_TARGETS_10HR_DN
Cyp51	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP
Idi1	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP
Mfap4	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP,PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN
Tent5c	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP
Ifitm6	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP
Il2rg	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP
Dse	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP
Insig1	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP,PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN
Pdgfra	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP,PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN,KARLSSON_TGFB1_TARGETS_DN,PLASARI_TGFB1_TARGETS_10HR_DN
Tatdn2	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP
Oxct1	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP
Meox1	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP,PLASARI_TGFB1_TARGETS_10HR_UP
Ctla2b	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP
Foxg1	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP,PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN
Rbp1	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP,PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN
Ahr	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP,PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN
Calcrl	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP
Ccn3	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP
Gsdme	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP
Kcnn4	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP
Rpl39l	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP,PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN
Zfhx3	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP,GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA
Evi2a	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP,PLASARI_TGFB1_TARGETS_10HR_DN
Ephb2	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP
Ccr5	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP
Flt1	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP,PLASARI_TGFB1_TARGETS_10HR_UP
Enpep	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP
Ctla2a	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP,KARLSSON_TGFB1_TARGETS_UP
Pdp1	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP,PLASARI_TGFB1_TARGETS_10HR_DN
Nr4a2	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP,PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN
Car6	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP,PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN,PLASARI_TGFB1_TARGETS_10HR_UP
Rab39b	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP
Fli1	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP,PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN
Mir142hg	target gene,activated	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP
Grpr	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Map3k2	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Sptbn1	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,
Cbl	target gene,suppressed,SMAD2.3.4,ligand	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS
Perp	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Nrn1	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Gnb1	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Gpc6	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Myh11	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Rgs5	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Fgfr2	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,PLASARI_TGFB1_TARGETS_10HR_DN
Mybl1	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Snx18	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Hnrnpl	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Slc27a3	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Ctsf	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Ago2	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Parm1	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Tmtc4	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Tspan5	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Cul5	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Igf2r	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Tinagl1	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Sncg	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Mpped2	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,PLASARI_TGFB1_TARGETS_10HR_DN
Clca3a1	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Ankrd11	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Msi2	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Hsd17b11	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Sesn3	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,PLASARI_TGFB1_TARGETS_10HR_DN
Snapc3	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Pik3r1	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,KARLSSON_TGFB1_TARGETS_DN,PLASARI_TGFB1_TARGETS_10HR_DN
Atxn2	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Rictor	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Cpd	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,
St3gal5	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Marf1	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Cadm4	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Malat1	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,PLASARI_TGFB1_TARGETS_10HR_DN
Pcsk5	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Loxl2	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Foxa1	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,
Garin5b	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Tubb2b	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Zcchc24	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Cenpe	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Rbfox2	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Sox2	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Rc3h2	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Ino80d	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Arglu1	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Rgs17	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Npr3	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,PLASARI_TGFB1_TARGETS_10HR_DN
Angpt4	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Wnt5a	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,
Atp9a	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Endod1	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,PLASARI_TGFB1_TARGETS_10HR_UP
Net1	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,KARLSSON_TGFB1_TARGETS_DN
Pth1r	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Atp1b1	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Akap9	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Nfia	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,KARLSSON_TGFB1_TARGETS_DN,PLASARI_TGFB1_TARGETS_10HR_DN
6330403K07Rik	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Slc12a2	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,PLASARI_TGFB1_TARGETS_10HR_DN
Cacna1h	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Rian	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Golga4	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Dpysl4	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Map1b	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
6820431F20Rik	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Camk2d	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Cyp39a1	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Tpm1	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,KARLSSON_TGFB1_TARGETS_UP
Gpc3	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
H4c1	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Cdkn1c	target gene,suppressed,tgfb activation	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA,GOBP_POSITIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS,
Kdm5a	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Tnpo2	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Plekhg1	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,PLASARI_TGFB1_TARGETS_10HR_DN
Igf2	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Col2a1	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Rcor3	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Thoc2	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Luzp1	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Pax1	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP
Cap1	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,
Pfn1	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Cd14	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,
Mcpt8	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Pcx	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Resf1	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Crebbp	target gene,suppressed,tgfb activation	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,,GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA,GOBP_POSITIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS
Tpr	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Hmga2	target gene	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,KARLSSON_TGFB1_TARGETS_UP,PLASARI_TGFB1_TARGETS_10HR_UP
Selenbp1	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN
Fat4	target gene,suppressed	MSigDB	PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN,PLASARI_TGFB1_TARGETS_10HR_DN
