tf_TFClass	class	family	subfamily	num_class_motifs	num_family_motifs	num_subfamily_motifs	class_motifs	family_motifs	subfamily_motifs
Tbx1	TBX1	T-box	TBX1-related factors	NA	15	6	NA	ENSMUSG00000000093_LINE1787_Tbx2_D_N1,ENSMUSG00000000094_LINE1789_Tbx4_D,ENSMUSG00000001444_LINE1790_Tbx21_I,ENSMUSG00000009097_LINE1791_Tbx1_D,ENSMUSG00000018263_LINE1793_Tbx5_D,ENSMUSG00000018604_LINE1794_Tbx3_D,ENSMUSG00000026572_LINE1795_Tbx19_I,ENSMUSG00000031965_LINE1799_Tbx20_D,ENSMUSG00000032446_LINE1801_Eomes_D,ENSMUSG00000035033_LINE1802_Tbr1_D,ENSMUSG00000037477_LINE1803_Tbx10_I,ENSMUSG00000062327_LINE1804_T_D,ENSMUSG00000027868_LINE7567_Tbx15_I_N1,ENSMUSG00000031241_LINE7574_Tbx22_I_N1,ENSMUSG00000032419_LINE7580_Tbx18_I_N1	ENSMUSG00000009097_LINE1791_Tbx1_D,ENSMUSG00000031965_LINE1799_Tbx20_D,ENSMUSG00000037477_LINE1803_Tbx10_I,ENSMUSG00000027868_LINE7567_Tbx15_I_N1,ENSMUSG00000031241_LINE7574_Tbx22_I_N1,ENSMUSG00000032419_LINE7580_Tbx18_I_N1	ENSMUSG00000009097_LINE1791_Tbx1_D
Tbx5	TBX5	T-box	TBX2-related factors	NA	15	4	NA	ENSMUSG00000000093_LINE1787_Tbx2_D_N1,ENSMUSG00000000094_LINE1789_Tbx4_D,ENSMUSG00000001444_LINE1790_Tbx21_I,ENSMUSG00000009097_LINE1791_Tbx1_D,ENSMUSG00000018263_LINE1793_Tbx5_D,ENSMUSG00000018604_LINE1794_Tbx3_D,ENSMUSG00000026572_LINE1795_Tbx19_I,ENSMUSG00000031965_LINE1799_Tbx20_D,ENSMUSG00000032446_LINE1801_Eomes_D,ENSMUSG00000035033_LINE1802_Tbr1_D,ENSMUSG00000037477_LINE1803_Tbx10_I,ENSMUSG00000062327_LINE1804_T_D,ENSMUSG00000027868_LINE7567_Tbx15_I_N1,ENSMUSG00000031241_LINE7574_Tbx22_I_N1,ENSMUSG00000032419_LINE7580_Tbx18_I_N1	ENSMUSG00000000093_LINE1787_Tbx2_D_N1,ENSMUSG00000000094_LINE1789_Tbx4_D,ENSMUSG00000018263_LINE1793_Tbx5_D,ENSMUSG00000018604_LINE1794_Tbx3_D	ENSMUSG00000018263_LINE1793_Tbx5_D
Tbx3	TBX3	T-box	TBX2-related factors	NA	15	4	NA	ENSMUSG00000000093_LINE1787_Tbx2_D_N1,ENSMUSG00000000094_LINE1789_Tbx4_D,ENSMUSG00000001444_LINE1790_Tbx21_I,ENSMUSG00000009097_LINE1791_Tbx1_D,ENSMUSG00000018263_LINE1793_Tbx5_D,ENSMUSG00000018604_LINE1794_Tbx3_D,ENSMUSG00000026572_LINE1795_Tbx19_I,ENSMUSG00000031965_LINE1799_Tbx20_D,ENSMUSG00000032446_LINE1801_Eomes_D,ENSMUSG00000035033_LINE1802_Tbr1_D,ENSMUSG00000037477_LINE1803_Tbx10_I,ENSMUSG00000062327_LINE1804_T_D,ENSMUSG00000027868_LINE7567_Tbx15_I_N1,ENSMUSG00000031241_LINE7574_Tbx22_I_N1,ENSMUSG00000032419_LINE7580_Tbx18_I_N1	ENSMUSG00000000093_LINE1787_Tbx2_D_N1,ENSMUSG00000000094_LINE1789_Tbx4_D,ENSMUSG00000018263_LINE1793_Tbx5_D,ENSMUSG00000018604_LINE1794_Tbx3_D	ENSMUSG00000018604_LINE1794_Tbx3_D
Tbx19	TBX19	T-box	Brachyury-related factors	NA	15	2	NA	ENSMUSG00000000093_LINE1787_Tbx2_D_N1,ENSMUSG00000000094_LINE1789_Tbx4_D,ENSMUSG00000001444_LINE1790_Tbx21_I,ENSMUSG00000009097_LINE1791_Tbx1_D,ENSMUSG00000018263_LINE1793_Tbx5_D,ENSMUSG00000018604_LINE1794_Tbx3_D,ENSMUSG00000026572_LINE1795_Tbx19_I,ENSMUSG00000031965_LINE1799_Tbx20_D,ENSMUSG00000032446_LINE1801_Eomes_D,ENSMUSG00000035033_LINE1802_Tbr1_D,ENSMUSG00000037477_LINE1803_Tbx10_I,ENSMUSG00000062327_LINE1804_T_D,ENSMUSG00000027868_LINE7567_Tbx15_I_N1,ENSMUSG00000031241_LINE7574_Tbx22_I_N1,ENSMUSG00000032419_LINE7580_Tbx18_I_N1	ENSMUSG00000026572_LINE1795_Tbx19_I,ENSMUSG00000062327_LINE1804_T_D	ENSMUSG00000026572_LINE1795_Tbx19_I
Tbx20	TBX20	T-box	TBX1-related factors	NA	15	6	NA	ENSMUSG00000000093_LINE1787_Tbx2_D_N1,ENSMUSG00000000094_LINE1789_Tbx4_D,ENSMUSG00000001444_LINE1790_Tbx21_I,ENSMUSG00000009097_LINE1791_Tbx1_D,ENSMUSG00000018263_LINE1793_Tbx5_D,ENSMUSG00000018604_LINE1794_Tbx3_D,ENSMUSG00000026572_LINE1795_Tbx19_I,ENSMUSG00000031965_LINE1799_Tbx20_D,ENSMUSG00000032446_LINE1801_Eomes_D,ENSMUSG00000035033_LINE1802_Tbr1_D,ENSMUSG00000037477_LINE1803_Tbx10_I,ENSMUSG00000062327_LINE1804_T_D,ENSMUSG00000027868_LINE7567_Tbx15_I_N1,ENSMUSG00000031241_LINE7574_Tbx22_I_N1,ENSMUSG00000032419_LINE7580_Tbx18_I_N1	ENSMUSG00000009097_LINE1791_Tbx1_D,ENSMUSG00000031965_LINE1799_Tbx20_D,ENSMUSG00000037477_LINE1803_Tbx10_I,ENSMUSG00000027868_LINE7567_Tbx15_I_N1,ENSMUSG00000031241_LINE7574_Tbx22_I_N1,ENSMUSG00000032419_LINE7580_Tbx18_I_N1	ENSMUSG00000031965_LINE1799_Tbx20_D
Eomes	TBR-2 (EOMES)	T-box	TBrain-related factors	NA	15	3	NA	ENSMUSG00000000093_LINE1787_Tbx2_D_N1,ENSMUSG00000000094_LINE1789_Tbx4_D,ENSMUSG00000001444_LINE1790_Tbx21_I,ENSMUSG00000009097_LINE1791_Tbx1_D,ENSMUSG00000018263_LINE1793_Tbx5_D,ENSMUSG00000018604_LINE1794_Tbx3_D,ENSMUSG00000026572_LINE1795_Tbx19_I,ENSMUSG00000031965_LINE1799_Tbx20_D,ENSMUSG00000032446_LINE1801_Eomes_D,ENSMUSG00000035033_LINE1802_Tbr1_D,ENSMUSG00000037477_LINE1803_Tbx10_I,ENSMUSG00000062327_LINE1804_T_D,ENSMUSG00000027868_LINE7567_Tbx15_I_N1,ENSMUSG00000031241_LINE7574_Tbx22_I_N1,ENSMUSG00000032419_LINE7580_Tbx18_I_N1	ENSMUSG00000001444_LINE1790_Tbx21_I,ENSMUSG00000032446_LINE1801_Eomes_D,ENSMUSG00000035033_LINE1802_Tbr1_D	ENSMUSG00000032446_LINE1801_Eomes_D
Tbr1	TBR-1	T-box	TBrain-related factors	NA	15	3	NA	ENSMUSG00000000093_LINE1787_Tbx2_D_N1,ENSMUSG00000000094_LINE1789_Tbx4_D,ENSMUSG00000001444_LINE1790_Tbx21_I,ENSMUSG00000009097_LINE1791_Tbx1_D,ENSMUSG00000018263_LINE1793_Tbx5_D,ENSMUSG00000018604_LINE1794_Tbx3_D,ENSMUSG00000026572_LINE1795_Tbx19_I,ENSMUSG00000031965_LINE1799_Tbx20_D,ENSMUSG00000032446_LINE1801_Eomes_D,ENSMUSG00000035033_LINE1802_Tbr1_D,ENSMUSG00000037477_LINE1803_Tbx10_I,ENSMUSG00000062327_LINE1804_T_D,ENSMUSG00000027868_LINE7567_Tbx15_I_N1,ENSMUSG00000031241_LINE7574_Tbx22_I_N1,ENSMUSG00000032419_LINE7580_Tbx18_I_N1	ENSMUSG00000001444_LINE1790_Tbx21_I,ENSMUSG00000032446_LINE1801_Eomes_D,ENSMUSG00000035033_LINE1802_Tbr1_D	ENSMUSG00000035033_LINE1802_Tbr1_D
Tbx10	TBX10 (TBX7)	T-box	TBX1-related factors	NA	15	6	NA	ENSMUSG00000000093_LINE1787_Tbx2_D_N1,ENSMUSG00000000094_LINE1789_Tbx4_D,ENSMUSG00000001444_LINE1790_Tbx21_I,ENSMUSG00000009097_LINE1791_Tbx1_D,ENSMUSG00000018263_LINE1793_Tbx5_D,ENSMUSG00000018604_LINE1794_Tbx3_D,ENSMUSG00000026572_LINE1795_Tbx19_I,ENSMUSG00000031965_LINE1799_Tbx20_D,ENSMUSG00000032446_LINE1801_Eomes_D,ENSMUSG00000035033_LINE1802_Tbr1_D,ENSMUSG00000037477_LINE1803_Tbx10_I,ENSMUSG00000062327_LINE1804_T_D,ENSMUSG00000027868_LINE7567_Tbx15_I_N1,ENSMUSG00000031241_LINE7574_Tbx22_I_N1,ENSMUSG00000032419_LINE7580_Tbx18_I_N1	ENSMUSG00000009097_LINE1791_Tbx1_D,ENSMUSG00000031965_LINE1799_Tbx20_D,ENSMUSG00000037477_LINE1803_Tbx10_I,ENSMUSG00000027868_LINE7567_Tbx15_I_N1,ENSMUSG00000031241_LINE7574_Tbx22_I_N1,ENSMUSG00000032419_LINE7580_Tbx18_I_N1	ENSMUSG00000037477_LINE1803_Tbx10_I
T	T (Brachyury)	T-box	Brachyury-related factors	NA	15	2	NA	ENSMUSG00000000093_LINE1787_Tbx2_D_N1,ENSMUSG00000000094_LINE1789_Tbx4_D,ENSMUSG00000001444_LINE1790_Tbx21_I,ENSMUSG00000009097_LINE1791_Tbx1_D,ENSMUSG00000018263_LINE1793_Tbx5_D,ENSMUSG00000018604_LINE1794_Tbx3_D,ENSMUSG00000026572_LINE1795_Tbx19_I,ENSMUSG00000031965_LINE1799_Tbx20_D,ENSMUSG00000032446_LINE1801_Eomes_D,ENSMUSG00000035033_LINE1802_Tbr1_D,ENSMUSG00000037477_LINE1803_Tbx10_I,ENSMUSG00000062327_LINE1804_T_D,ENSMUSG00000027868_LINE7567_Tbx15_I_N1,ENSMUSG00000031241_LINE7574_Tbx22_I_N1,ENSMUSG00000032419_LINE7580_Tbx18_I_N1	ENSMUSG00000026572_LINE1795_Tbx19_I,ENSMUSG00000062327_LINE1804_T_D	ENSMUSG00000062327_LINE1804_T_D
Tbp	TBP	TBP	TBP-related factors	NA	2	3	NA	ENSMUSG00000014767_LINE1805_Tbp_D,ENSMUSG00000061809_LINE1806_Tbpl2_I	ENSMUSG00000031921_LINE1545_Terf2_D,ENSMUSG00000014767_LINE1805_Tbp_D,ENSMUSG00000061809_LINE1806_Tbpl2_I	ENSMUSG00000014767_LINE1805_Tbp_D
Tbpl2	TBP-L2 (TRF3)	TBP	TBP-related factors	NA	2	3	NA	ENSMUSG00000014767_LINE1805_Tbp_D,ENSMUSG00000061809_LINE1806_Tbpl2_I	ENSMUSG00000031921_LINE1545_Terf2_D,ENSMUSG00000014767_LINE1805_Tbp_D,ENSMUSG00000061809_LINE1806_Tbpl2_I	ENSMUSG00000061809_LINE1806_Tbpl2_I
Spz1	NA	Unknown	NA	NA	1	NA	NA	ENSMUSG00000046957_LINE1822_Spz1_D	ENSMUSG00000046957_LINE1822_Spz1_D	ENSMUSG00000046957_LINE1822_Spz1_D
Hmga1	HMGA1 (HMGI(Y))	AT hook	HMGA factors	NA	5	2	NA	ENSMUSG00000024548_LINE28_Setbp1_D,ENSMUSG00000026491_LINE29_Ahctf1_D,ENSMUSG00000056758_LINE31_Hmga2_D,ENSMUSG00000058318_LINE32_Phf21a_D,ENSMUSG00000046711_LINE73_Hmga1_I_N2	ENSMUSG00000056758_LINE31_Hmga2_D,ENSMUSG00000046711_LINE73_Hmga1_I_N2	ENSMUSG00000046711_LINE73_Hmga1_I_N2
Myf5	Myf-5	bHLH	MyoD / ASC-related factors	Myogenic transcription factors	80	6	4	ENSMUSG00000000282_LINE38_Mnt_D,ENSMUSG00000001988_LINE41_Npas1_I,ENSMUSG00000007805_LINE47_Twist2_D,ENSMUSG00000009248_LINE50_Ascl2_D_N2,ENSMUSG00000009471_LINE51_Myod1_D,ENSMUSG00000015522_LINE52_Arnt_D_N2,ENSMUSG00000015709_LINE54_Arnt2_D,ENSMUSG00000017801_LINE55_Mlx_D_N3,ENSMUSG00000019256_LINE58_Ahr_I,ENSMUSG00000019789_LINE59_Hey2_D,ENSMUSG00000019913_LINE60_Sim1_I,ENSMUSG00000020167_LINE64_Tcf3_D_N3,ENSMUSG00000020538_LINE66_Srebf1_D_N2,ENSMUSG00000021010_LINE71_Npas3_I,ENSMUSG00000021575_LINE74_Ahrr_I,ENSMUSG00000022346_LINE75_Myc_D,ENSMUSG00000022463_LINE76_Srebf2_D,ENSMUSG00000022528_LINE77_Hes1_D,ENSMUSG00000023781_LINE78_Hes7_D,ENSMUSG00000025128_LINE82_Bhlhe22_D,ENSMUSG00000025930_LINE83_Msc_D,ENSMUSG00000026077_LINE84_Npas2_D,ENSMUSG00000026459_LINE85_Myog_D,ENSMUSG00000026641_LINE86_Usf1_D,ENSMUSG00000026735_LINE87_Ptf1a_I,ENSMUSG00000027794_LINE89_Sohlh2_D,ENSMUSG00000027967_LINE90_Neurog2_I,ENSMUSG00000028940_LINE94_Hes2_D,ENSMUSG00000029238_LINE96_Clock_D,ENSMUSG00000030001_LINE99_Figla_D,ENSMUSG00000030103_LINE100_Bhlhe40_D_N5,ENSMUSG00000030256_LINE106_Bhlhe41_D,ENSMUSG00000030543_LINE107_Mesp2_I,ENSMUSG00000030544_LINE108_Mesp1_I,ENSMUSG00000032228_LINE109_Tcf12_D_N1,ENSMUSG00000032744_LINE111_Heyl_I,ENSMUSG00000034161_LINE113_Scx_I,ENSMUSG00000035158_LINE115_Mitf_D,ENSMUSG00000035923_LINE117_Myf6_D_N1,ENSMUSG00000036816_LINE120_Atoh7_I,ENSMUSG00000037169_LINE121_Mycn_D,ENSMUSG00000037335_LINE123_Hand1_I,ENSMUSG00000037621_LINE124_Atoh8_I,ENSMUSG00000038193_LINE126_Hand2_I,ENSMUSG00000038255_LINE127_Neurod2_I,ENSMUSG00000038342_LINE128_Mlxip_D,ENSMUSG00000038932_LINE129_Tcfl5_D,ENSMUSG00000039830_LINE130_Olig2_I,ENSMUSG00000040289_LINE132_Hey1_I,ENSMUSG00000044312_LINE135_Neurog3_I,ENSMUSG00000044597_LINE136_Mycs_I,ENSMUSG00000045493_LINE137_Bhlhe23_I,ENSMUSG00000045591_LINE138_Olig3_D,ENSMUSG00000045680_LINE139_Tcf21_D_N1,ENSMUSG00000045903_LINE141_Npas4_I,ENSMUSG00000046160_LINE142_Olig1_I,ENSMUSG00000046518_LINE143_Ferd3l_I,ENSMUSG00000048001_LINE146_Hes5_D,ENSMUSG00000048540_LINE148_Nhlh2_D,ENSMUSG00000048904_LINE150_Neurog1_D,ENSMUSG00000051251_LINE151_Nhlh1_I,ENSMUSG00000052271_LINE152_Bhlha15_D,ENSMUSG00000053477_LINE153_Tcf4_D,ENSMUSG00000055116_LINE154_Arntl_D,ENSMUSG00000059436_LINE156_Max_D_N3,ENSMUSG00000062713_LINE160_Sim2_I,ENSMUSG00000068079_LINE162_Tcf15_I,ENSMUSG00000073043_LINE166_Atoh1_D_N2,ENSMUSG00000089674_LINE168_Usf2_D,ENSMUSG00000000435_LINE113_Myf5_I_N8,ENSMUSG00000005373_LINE126_Mlxipl_I_N1,ENSMUSG00000020052_LINE158_Ascl1_I_N2,ENSMUSG00000028417_LINE214_Tal2_I_N1,ENSMUSG00000028717_LINE236_Tal1_I_N4,ENSMUSG00000034041_LINE273_Lyl1_I_N4,ENSMUSG00000034701_LINE292_Neurod1_I_N7,ENSMUSG00000035799_LINE296_Twist1_I_N2,ENSMUSG00000037984_LINE330_Neurod6_I_N7,ENSMUSG00000048015_LINE422_Neurod4_I_N7,ENSMUSG00000004328_LINE324_Hif3a_I_N1	ENSMUSG00000009248_LINE50_Ascl2_D_N2,ENSMUSG00000009471_LINE51_Myod1_D,ENSMUSG00000026459_LINE85_Myog_D,ENSMUSG00000035923_LINE117_Myf6_D_N1,ENSMUSG00000000435_LINE113_Myf5_I_N8,ENSMUSG00000020052_LINE158_Ascl1_I_N2	ENSMUSG00000009471_LINE51_Myod1_D,ENSMUSG00000026459_LINE85_Myog_D,ENSMUSG00000035923_LINE117_Myf6_D_N1,ENSMUSG00000000435_LINE113_Myf5_I_N8
Mlxipl	MondoB (Mlx-IPL, WS-bHLH)	bHLH	bHLH-ZIP factors	Mondo-like factors	80	12	3	ENSMUSG00000000282_LINE38_Mnt_D,ENSMUSG00000001988_LINE41_Npas1_I,ENSMUSG00000007805_LINE47_Twist2_D,ENSMUSG00000009248_LINE50_Ascl2_D_N2,ENSMUSG00000009471_LINE51_Myod1_D,ENSMUSG00000015522_LINE52_Arnt_D_N2,ENSMUSG00000015709_LINE54_Arnt2_D,ENSMUSG00000017801_LINE55_Mlx_D_N3,ENSMUSG00000019256_LINE58_Ahr_I,ENSMUSG00000019789_LINE59_Hey2_D,ENSMUSG00000019913_LINE60_Sim1_I,ENSMUSG00000020167_LINE64_Tcf3_D_N3,ENSMUSG00000020538_LINE66_Srebf1_D_N2,ENSMUSG00000021010_LINE71_Npas3_I,ENSMUSG00000021575_LINE74_Ahrr_I,ENSMUSG00000022346_LINE75_Myc_D,ENSMUSG00000022463_LINE76_Srebf2_D,ENSMUSG00000022528_LINE77_Hes1_D,ENSMUSG00000023781_LINE78_Hes7_D,ENSMUSG00000025128_LINE82_Bhlhe22_D,ENSMUSG00000025930_LINE83_Msc_D,ENSMUSG00000026077_LINE84_Npas2_D,ENSMUSG00000026459_LINE85_Myog_D,ENSMUSG00000026641_LINE86_Usf1_D,ENSMUSG00000026735_LINE87_Ptf1a_I,ENSMUSG00000027794_LINE89_Sohlh2_D,ENSMUSG00000027967_LINE90_Neurog2_I,ENSMUSG00000028940_LINE94_Hes2_D,ENSMUSG00000029238_LINE96_Clock_D,ENSMUSG00000030001_LINE99_Figla_D,ENSMUSG00000030103_LINE100_Bhlhe40_D_N5,ENSMUSG00000030256_LINE106_Bhlhe41_D,ENSMUSG00000030543_LINE107_Mesp2_I,ENSMUSG00000030544_LINE108_Mesp1_I,ENSMUSG00000032228_LINE109_Tcf12_D_N1,ENSMUSG00000032744_LINE111_Heyl_I,ENSMUSG00000034161_LINE113_Scx_I,ENSMUSG00000035158_LINE115_Mitf_D,ENSMUSG00000035923_LINE117_Myf6_D_N1,ENSMUSG00000036816_LINE120_Atoh7_I,ENSMUSG00000037169_LINE121_Mycn_D,ENSMUSG00000037335_LINE123_Hand1_I,ENSMUSG00000037621_LINE124_Atoh8_I,ENSMUSG00000038193_LINE126_Hand2_I,ENSMUSG00000038255_LINE127_Neurod2_I,ENSMUSG00000038342_LINE128_Mlxip_D,ENSMUSG00000038932_LINE129_Tcfl5_D,ENSMUSG00000039830_LINE130_Olig2_I,ENSMUSG00000040289_LINE132_Hey1_I,ENSMUSG00000044312_LINE135_Neurog3_I,ENSMUSG00000044597_LINE136_Mycs_I,ENSMUSG00000045493_LINE137_Bhlhe23_I,ENSMUSG00000045591_LINE138_Olig3_D,ENSMUSG00000045680_LINE139_Tcf21_D_N1,ENSMUSG00000045903_LINE141_Npas4_I,ENSMUSG00000046160_LINE142_Olig1_I,ENSMUSG00000046518_LINE143_Ferd3l_I,ENSMUSG00000048001_LINE146_Hes5_D,ENSMUSG00000048540_LINE148_Nhlh2_D,ENSMUSG00000048904_LINE150_Neurog1_D,ENSMUSG00000051251_LINE151_Nhlh1_I,ENSMUSG00000052271_LINE152_Bhlha15_D,ENSMUSG00000053477_LINE153_Tcf4_D,ENSMUSG00000055116_LINE154_Arntl_D,ENSMUSG00000059436_LINE156_Max_D_N3,ENSMUSG00000062713_LINE160_Sim2_I,ENSMUSG00000068079_LINE162_Tcf15_I,ENSMUSG00000073043_LINE166_Atoh1_D_N2,ENSMUSG00000089674_LINE168_Usf2_D,ENSMUSG00000000435_LINE113_Myf5_I_N8,ENSMUSG00000005373_LINE126_Mlxipl_I_N1,ENSMUSG00000020052_LINE158_Ascl1_I_N2,ENSMUSG00000028417_LINE214_Tal2_I_N1,ENSMUSG00000028717_LINE236_Tal1_I_N4,ENSMUSG00000034041_LINE273_Lyl1_I_N4,ENSMUSG00000034701_LINE292_Neurod1_I_N7,ENSMUSG00000035799_LINE296_Twist1_I_N2,ENSMUSG00000037984_LINE330_Neurod6_I_N7,ENSMUSG00000048015_LINE422_Neurod4_I_N7,ENSMUSG00000004328_LINE324_Hif3a_I_N1	ENSMUSG00000000282_LINE38_Mnt_D,ENSMUSG00000017801_LINE55_Mlx_D_N3,ENSMUSG00000020538_LINE66_Srebf1_D_N2,ENSMUSG00000022346_LINE75_Myc_D,ENSMUSG00000022463_LINE76_Srebf2_D,ENSMUSG00000026641_LINE86_Usf1_D,ENSMUSG00000037169_LINE121_Mycn_D,ENSMUSG00000038342_LINE128_Mlxip_D,ENSMUSG00000059436_LINE156_Max_D_N3,ENSMUSG00000089674_LINE168_Usf2_D,ENSMUSG00000033943_LINE169_Mga_I,ENSMUSG00000005373_LINE126_Mlxipl_I_N1	ENSMUSG00000017801_LINE55_Mlx_D_N3,ENSMUSG00000038342_LINE128_Mlxip_D,ENSMUSG00000005373_LINE126_Mlxipl_I_N1
Ascl1	ASH-1 (ASCL1)	bHLH	MyoD / ASC-related factors	Achaete-Scute-like factors	80	6	2	ENSMUSG00000000282_LINE38_Mnt_D,ENSMUSG00000001988_LINE41_Npas1_I,ENSMUSG00000007805_LINE47_Twist2_D,ENSMUSG00000009248_LINE50_Ascl2_D_N2,ENSMUSG00000009471_LINE51_Myod1_D,ENSMUSG00000015522_LINE52_Arnt_D_N2,ENSMUSG00000015709_LINE54_Arnt2_D,ENSMUSG00000017801_LINE55_Mlx_D_N3,ENSMUSG00000019256_LINE58_Ahr_I,ENSMUSG00000019789_LINE59_Hey2_D,ENSMUSG00000019913_LINE60_Sim1_I,ENSMUSG00000020167_LINE64_Tcf3_D_N3,ENSMUSG00000020538_LINE66_Srebf1_D_N2,ENSMUSG00000021010_LINE71_Npas3_I,ENSMUSG00000021575_LINE74_Ahrr_I,ENSMUSG00000022346_LINE75_Myc_D,ENSMUSG00000022463_LINE76_Srebf2_D,ENSMUSG00000022528_LINE77_Hes1_D,ENSMUSG00000023781_LINE78_Hes7_D,ENSMUSG00000025128_LINE82_Bhlhe22_D,ENSMUSG00000025930_LINE83_Msc_D,ENSMUSG00000026077_LINE84_Npas2_D,ENSMUSG00000026459_LINE85_Myog_D,ENSMUSG00000026641_LINE86_Usf1_D,ENSMUSG00000026735_LINE87_Ptf1a_I,ENSMUSG00000027794_LINE89_Sohlh2_D,ENSMUSG00000027967_LINE90_Neurog2_I,ENSMUSG00000028940_LINE94_Hes2_D,ENSMUSG00000029238_LINE96_Clock_D,ENSMUSG00000030001_LINE99_Figla_D,ENSMUSG00000030103_LINE100_Bhlhe40_D_N5,ENSMUSG00000030256_LINE106_Bhlhe41_D,ENSMUSG00000030543_LINE107_Mesp2_I,ENSMUSG00000030544_LINE108_Mesp1_I,ENSMUSG00000032228_LINE109_Tcf12_D_N1,ENSMUSG00000032744_LINE111_Heyl_I,ENSMUSG00000034161_LINE113_Scx_I,ENSMUSG00000035158_LINE115_Mitf_D,ENSMUSG00000035923_LINE117_Myf6_D_N1,ENSMUSG00000036816_LINE120_Atoh7_I,ENSMUSG00000037169_LINE121_Mycn_D,ENSMUSG00000037335_LINE123_Hand1_I,ENSMUSG00000037621_LINE124_Atoh8_I,ENSMUSG00000038193_LINE126_Hand2_I,ENSMUSG00000038255_LINE127_Neurod2_I,ENSMUSG00000038342_LINE128_Mlxip_D,ENSMUSG00000038932_LINE129_Tcfl5_D,ENSMUSG00000039830_LINE130_Olig2_I,ENSMUSG00000040289_LINE132_Hey1_I,ENSMUSG00000044312_LINE135_Neurog3_I,ENSMUSG00000044597_LINE136_Mycs_I,ENSMUSG00000045493_LINE137_Bhlhe23_I,ENSMUSG00000045591_LINE138_Olig3_D,ENSMUSG00000045680_LINE139_Tcf21_D_N1,ENSMUSG00000045903_LINE141_Npas4_I,ENSMUSG00000046160_LINE142_Olig1_I,ENSMUSG00000046518_LINE143_Ferd3l_I,ENSMUSG00000048001_LINE146_Hes5_D,ENSMUSG00000048540_LINE148_Nhlh2_D,ENSMUSG00000048904_LINE150_Neurog1_D,ENSMUSG00000051251_LINE151_Nhlh1_I,ENSMUSG00000052271_LINE152_Bhlha15_D,ENSMUSG00000053477_LINE153_Tcf4_D,ENSMUSG00000055116_LINE154_Arntl_D,ENSMUSG00000059436_LINE156_Max_D_N3,ENSMUSG00000062713_LINE160_Sim2_I,ENSMUSG00000068079_LINE162_Tcf15_I,ENSMUSG00000073043_LINE166_Atoh1_D_N2,ENSMUSG00000089674_LINE168_Usf2_D,ENSMUSG00000000435_LINE113_Myf5_I_N8,ENSMUSG00000005373_LINE126_Mlxipl_I_N1,ENSMUSG00000020052_LINE158_Ascl1_I_N2,ENSMUSG00000028417_LINE214_Tal2_I_N1,ENSMUSG00000028717_LINE236_Tal1_I_N4,ENSMUSG00000034041_LINE273_Lyl1_I_N4,ENSMUSG00000034701_LINE292_Neurod1_I_N7,ENSMUSG00000035799_LINE296_Twist1_I_N2,ENSMUSG00000037984_LINE330_Neurod6_I_N7,ENSMUSG00000048015_LINE422_Neurod4_I_N7,ENSMUSG00000004328_LINE324_Hif3a_I_N1	ENSMUSG00000009248_LINE50_Ascl2_D_N2,ENSMUSG00000009471_LINE51_Myod1_D,ENSMUSG00000026459_LINE85_Myog_D,ENSMUSG00000035923_LINE117_Myf6_D_N1,ENSMUSG00000000435_LINE113_Myf5_I_N8,ENSMUSG00000020052_LINE158_Ascl1_I_N2	ENSMUSG00000009248_LINE50_Ascl2_D_N2,ENSMUSG00000020052_LINE158_Ascl1_I_N2
